n,m,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,best,avg,worst
1000,10000,58,10,5,4,4,5,3,4,2,2,2,9,58
1000,15000,5,7,3,4,11,5,3,3,3,4,3,4,11
1000,25000,8,16,5,8,0,0,14,16,15,0,0,8,16
5000,15000,0,0,16,16,0,0,0,0,0,0,0,3,16
5000,25000,0,0,0,0,15,15,16,0,16,16,0,7,16
10000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,25000,15,16,15,0,15,0,16,16,15,31,0,13,31
20000,200000,187,172,125,219,187,188,188,188,203,172,125,182,219
20000,300000,360,266,355,312,343,359,140,343,203,344,140,302,360
50000,1000000,907,847,465,875,1078,1219,1187,1203,1047,937,465,976,1219
